time_open,time_close,time_high,time_low,quote.USDT.open,quote.USDT.high,quote.USDT.low,quote.USDT.close,quote.USDT.volume,quote.USDT.market_cap,quote.USDT.timestamp
2013-10-12T00:00:00.000Z,2013-10-12T23:59:59.999Z,2013-10-12T17:26:05.000Z,2013-10-12T00:06:02.000Z,,,,,,,
2013-10-13T00:00:00.000Z,2013-10-13T23:59:59.999Z,2013-10-13T22:46:01.000Z,2013-10-13T07:31:09.000Z,,,,,,,
2013-10-14T00:00:00.000Z,2013-10-14T23:59:59.999Z,2013-10-14T10:26:01.000Z,2013-10-14T00:16:01.000Z,,,,,,,
2013-10-15T00:00:00.000Z,2013-10-15T23:59:59.999Z,2013-10-15T23:06:04.000Z,2013-10-15T13:26:01.000Z,,,,,,,
2013-10-16T00:00:00.000Z,2013-10-16T23:59:59.999Z,2013-10-16T07:06:02.000Z,2013-10-16T16:46:02.000Z,,,,,,,
2013-10-17T00:00:00.000Z,2013-10-17T23:59:59.999Z,2013-10-17T15:16:09.000Z,2013-10-17T00:01:03.000Z,,,,,,,
2013-10-18T00:00:00.000Z,2013-10-18T23:59:59.999Z,2013-10-18T23:51:02.000Z,2013-10-18T09:46:01.000Z,,,,,,,
2013-10-19T00:00:00.000Z,2013-10-19T23:59:59.999Z,2013-10-19T10:36:05.000Z,2013-10-19T00:06:03.000Z,,,,,,,
2013-10-20T00:00:00.000Z,2013-10-20T23:59:59.999Z,2013-10-20T15:21:03.000Z,2013-10-20T03:41:02.000Z,,,,,,,
2013-10-21T00:00:00.000Z,2013-10-21T23:59:59.999Z,2013-10-21T12:01:02.000Z,2013-10-21T00:01:02.000Z,,,,,,,
2013-10-22T00:00:00.000Z,2013-10-22T23:59:59.999Z,2013-10-22T12:01:02.000Z,2013-10-22T00:01:02.000Z,,,,,,,
2013-10-23T00:00:00.000Z,2013-10-23T23:59:59.999Z,2013-10-23T23:56:13.000Z,2013-10-23T02:16:02.000Z,,,,,,,
2013-10-24T00:00:00.000Z,2013-10-24T23:59:59.999Z,2013-10-24T02:31:03.000Z,2013-10-24T08:01:02.000Z,,,,,,,
2013-10-25T00:00:00.000Z,2013-10-25T23:59:59.999Z,2013-10-25T01:26:11.000Z,2013-10-25T15:01:01.000Z,,,,,,,
2013-10-26T00:00:00.000Z,2013-10-26T23:59:59.999Z,2013-10-26T00:26:02.000Z,2013-10-26T20:46:09.000Z,,,,,,,
